Country,Date,Round,Challenge,Streetview,Coordinates,Region,Record Count
Kenya,"Jul 22, 2021",5,Challenge,Street view,"-0.2041481,35.2932638",Kisumu County,1
Kenya,"Jul 23, 2021",1,Challenge,Street view,"-1.2847212966094359,36.820579747002107",Nairobi County,1
Ukraine,"Jul 23, 2021",2,Challenge,Street view,"48.2490953,28.292407",Vinnyts'ka oblast,1
Mexico,"Jul 23, 2021",3,Challenge,Street view,"26.3295738340347,-111.54573878018979",Baja California Sur,1
Estonia,"Jul 23, 2021",4,Challenge,Street view,"58.254580586768427,22.55489834255005",Saare maakond,1
Kenya,"Jul 23, 2021",5,Challenge,Street view,"-1.366654772462258,38.01070036255836",Kitui County,1
Romania,"Jul 24, 2021",1,Challenge,Street view,"45.865429561797413,24.161810602959289",Județul Sibiu,1
Germany,"Jul 24, 2021",2,Challenge,Street view,"48.24029246656653,11.509253646562639",Bayern,1
Norway,"Jul 24, 2021",3,Challenge,Street view,"68.530106812896776,16.111597814332821",Nordland,1
Chile,"Jul 24, 2021",4,Challenge,Street view,"-52.664230317107418,-71.111561303156563",Magallanes y la Antártica Chilena,1
Japan,"Jul 24, 2021",5,Challenge,Street view,"40.450023472844137,141.68100405358379",Aomori,1
Mexico,"Jul 25, 2021",1,Challenge,Street view,"26.64152282130738,-109.21355406246769",Sonora,1
Sweden,"Jul 25, 2021",2,Challenge,Street view,"56.955257890458732,16.787376188254441",Kalmar län,1
Slovenia,"Jul 25, 2021",3,Challenge,Street view,"45.569549882877077,14.9448511919119",Kočevje,1
Indonesia,"Jul 25, 2021",4,Challenge,Street view,"-6.8693434571534446,109.1286275765752",Jawa Tengah,1
Kenya,"Jul 25, 2021",5,Challenge,Street view,"0.2156305069882119,37.456438543899253",Meru County,1
Germany,"Jul 26, 2021",1,Challenge,Street view,"53.446598724519951,10.22012090728926",Hamburg,1
Netherlands,"Jul 26, 2021",2,Challenge,Street view,"52.7199810545729,5.2763461010443109",Noord-Holland,1
India,"Jul 26, 2021",3,Challenge,Street view,"22.648773274956291,88.3764222039116",West Bengal,1
Greece,"Jul 26, 2021",4,Challenge,Street view,"39.639842467378109,20.155563193887151",Epirus,1
Bolivia,"Jul 26, 2021",5,Challenge,Street view,"-21.25602328709493,-63.45596936000922",Departamento de Tarija,1
Ireland,"Jul 27, 2021",1,Challenge,Street view,"54.13908920383318,-9.7161361823677712",County Mayo,1
Latvia,"Jul 27, 2021",2,Challenge,Street view,"57.0362331,22.7691347",Tukuma novads,1
Philippines,"Jul 27, 2021",3,Challenge,Street view,"14.579309457466341,120.9748339759133",Metropolitan Manila First District,1
Chile,"Jul 27, 2021",4,Challenge,Street view,"-36.321386667769673,-72.527473646636651",Ñuble,1
Chile,"Jul 27, 2021",5,Challenge,Street view,"-34.657004623109913,-70.992649463264584",O'Higgins,1
Türkiye,"Jul 28, 2021",1,Challenge,Street view,"38.741123458844768,39.914276395497417",Elazığ,1
Peru,"Jul 28, 2021",2,Challenge,Street view,"-16.0035196,-74.0235712",Arequipa,1
Spain,"Jul 28, 2021",3,Challenge,Street view,"36.500700120189343,-6.2623954930254158",Andalucía,1
Denmark,"Jul 28, 2021",4,Challenge,Street view,"56.387542923866128,8.7916018980067889",Central Denmark Region,1
"Korea, South","Jul 28, 2021",5,Challenge,Street view,"35.570012738157679,129.22776658689881",Ulsan,1
Philippines,"Jul 29, 2021",1,Challenge,Street view,"15.8171513082246,120.7292451164285",Nueva Ecija,1
Latvia,"Jul 29, 2021",2,Challenge,Street view,"56.604026370472162,22.452258765447361",Saldus novads,1
Slovenia,"Jul 29, 2021",3,Challenge,Street view,"46.144547463813083,15.206435629923581",Laško,1
Finland,"Jul 29, 2021",4,Challenge,Street view,"62.136011630952517,25.013232687916869",Keski-Suomi,1
Bolivia,"Jul 29, 2021",5,Challenge,Street view,"-16.298158800499252,-68.5279890628446",Departamento de La Paz,1
United States,"Jul 30, 2021",1,Challenge,Street view,"40.722114403892469,-73.975986490537991",New York,1
Philippines,"Jul 30, 2021",2,Challenge,Street view,"6.1033667822678144,125.2924103465875",Sarangani,1
Greece,"Jul 30, 2021",3,Challenge,Street view,"36.822502102731768,27.052939893052439",Southern Aegean,1
Chile,"Jul 30, 2021",4,Challenge,Street view,"-46.89361045872262,-72.769594228483854",Aysén,1
Colombia,"Jul 30, 2021",5,Challenge,Street view,"7.0855832544544466,-70.757966736021345",Arauca,1
"Korea, South","Jul 31, 2021",1,Challenge,Street view,"33.275862504117612,126.21695097761931",Jeju-do,1
Australia,"Jul 31, 2021",2,Challenge,Street view,"-30.9825573,150.1885651",New South Wales,1
Japan,"Jul 31, 2021",3,Challenge,Street view,"41.265460824514619,140.8338895399136",Aomori,1
Bolivia,"Jul 31, 2021",4,Challenge,Street view,"-18.10830797026496,-63.457524629567821",Departamento de Santa Cruz,1
Netherlands,"Jul 31, 2021",5,Challenge,Street view,"51.749881586564193,5.8404687069889523",Noord-Brabant,1
Poland,"Aug 1, 2021",1,Challenge,Street view,"53.186819661634267,22.086507390969722",Województwo podlaskie,1
Senegal,"Aug 1, 2021",2,Challenge,Street view,"14.7527904,-17.4901815",Région de Dakar,1
Malaysia,"Aug 1, 2021",3,Challenge,Street view,"4.66945897406551,103.4034740556107",Terengganu,1
United States,"Aug 1, 2021",4,Challenge,Street view,"40.761415083577013,-73.99178155971299",New York,1
Senegal,"Aug 1, 2021",5,Challenge,Street view,"13.849737804922681,-16.057608461080061",Région de Kaolack,1
Cambodia,"Aug 2, 2021",1,Challenge,Street view,"12.253038718427479,105.8924325936118",Kratié Province,1
Taiwan,"Aug 2, 2021",2,Challenge,Street view,"24.349535435080892,121.3081597616043",Taichung City,1
Cambodia,"Aug 2, 2021",3,Challenge,Street view,"12.40335619869678,106.2387013714211",Kratié Province,1
Egypt,"Aug 2, 2021",4,Challenge,Street view,"29.975121404953079,31.137123048401008",Giza Governorate,1
Bolivia,"Aug 2, 2021",5,Challenge,Street view,"-16.298158800499252,-68.5279890628446",Departamento de La Paz,1
Kenya,"Aug 3, 2021",1,Challenge,Street view,"0.77518398227114116,34.788970768627777",Bungoma County,1
Portugal,"Aug 3, 2021",2,Challenge,Street view,"38.823440083608837,-7.424142137163062",Distrito de Évora,1
Finland,"Aug 3, 2021",3,Challenge,Street view,"65.775662989344951,28.69951221902102",Pohjois-Pohjanmaa,1
Brazil,"Aug 3, 2021",4,Challenge,Street view,"-16.3519861725251,-48.958504823126113",Goiás,1
Australia,"Aug 3, 2021",5,Challenge,Street view,"-42.12310973882542,148.2901295284486",Tasmania,1
Estonia,"Aug 4, 2021",1,Challenge,Street view,"57.906265759472568,24.411486330654562",Pärnu maakond,1
Iceland,"Aug 4, 2021",2,Challenge,Street view,"63.733131263298937,-20.089777600860689",Rangárþing eystra,1
Bangladesh,"Aug 4, 2021",3,Challenge,Street view,"24.806855801663058,90.510357933967825",Mymensingh Division,1
Colombia,"Aug 4, 2021",4,Challenge,Street view,"2.1359542593594019,-75.715116465667776",Huila,1
Argentina,"Aug 4, 2021",5,Challenge,Street view,"-25.1207437167626,-64.126986953030638",Salta,1
Finland,"Aug 5, 2021",1,Challenge,Street view,"61.094010606113827,24.114651212155579",Kanta-Häme,1
Uruguay,"Aug 5, 2021",2,Challenge,Street view,"-34.63419812392182,-56.632840793631523",Departamento de San José,1
Colombia,"Aug 5, 2021",3,Challenge,Street view,"2.391667,-76.657268",Cauca,1
Taiwan,"Aug 5, 2021",4,Challenge,Street view,"23.563793922046791,119.58345460846689",Penghu County,1
Belgium,"Aug 5, 2021",5,Challenge,Street view,"51.1794505,5.6310684",Vlaanderen,1
United States,"Aug 6, 2021",1,Challenge,Street view,"30.3163162597815,-81.6552667887693",Florida,1
Japan,"Aug 6, 2021",2,Challenge,Street view,"44.042585071652788,144.94967942190431",Hokkaido,1
Romania,"Aug 6, 2021",3,Challenge,Street view,"44.433692512540738,26.10905994014907",București,1
Finland,"Aug 6, 2021",4,Challenge,Street view,"67.817177463781761,23.681585603795941",Lappi,1
Poland,"Aug 6, 2021",5,Challenge,Street view,"53.260325266688547,14.825136555903651",West Pomeranian Voivodeship,1
Slovakia,"Aug 7, 2021",1,Challenge,Street view,"48.638381895839657,19.945879032745491",Banskobystrický kraj,1
Greece,"Aug 7, 2021",2,Challenge,Street view,"37.667311582827743,23.959894053206011",Attica,1
Indonesia,"Aug 7, 2021",3,Challenge,Street view,"-7.3445345,108.3886696",Jawa Barat,1
Ecuador,"Aug 7, 2021",4,Challenge,Street view,"-2.1783386291235431,-79.826013458856693",Guayas,1
Egypt,"Aug 7, 2021",5,Challenge,Street view,"30.006642933908,31.229808278351271",Cairo Governorate,1
Sweden,"Aug 9, 2021",1,Challenge,Street view,"57.51007607343243,13.108334351516289",Västra Götalands län,1
France,"Aug 9, 2021",2,Challenge,Street view,"44.7302225,3.8977065",Auvergne-Rhône-Alpes,1
Australia,"Aug 9, 2021",3,Challenge,Street view,"-35.982849945169718,139.74139210864891",South Australia,1
Taiwan,"Aug 9, 2021",4,Challenge,Street view,"24.139954366238289,120.6770057066245",Taichung City,1
Argentina,"Aug 9, 2021",5,Challenge,Street view,"-26.0735819119208,-65.975514809969624",Salta,1
Argentina,"Aug 10, 2021",1,Challenge,Street view,"-27.010685240801159,-54.5220330398425",Misiones,1
Australia,"Aug 10, 2021",2,Challenge,Street view,"-38.61516836743386,143.29215359487819",Victoria,1
Hungary,"Aug 10, 2021",3,Challenge,Street view,"47.02114577600522,21.431574057541589",Hajdú-Bihar,1
Kenya,"Aug 10, 2021",4,Challenge,Street view,"-0.53345342893502479,37.450499527611463",Embu County,1
Isle of Man,"Aug 10, 2021",5,Challenge,Street view,"54.16799087359793,-4.5085236131228363",Braddan,1
France,"Aug 11, 2021",1,Challenge,Street view,"42.214682314162538,9.55514633601004",Corse,1
Czechia,"Aug 11, 2021",2,Challenge,Street view,"50.439875751921633,14.902955415992359",Středočeský kraj,1
Taiwan,"Aug 11, 2021",3,Challenge,Street view,"24.149177736486,121.65453646924951",Hualien County,1
Thailand,"Aug 11, 2021",4,Challenge,Street view,"17.9959238,102.9674048",Chang Wat Nong Khai,1
Peru,"Aug 11, 2021",5,Challenge,Street view,"-9.3582744060823337,-78.4250500469737",Áncash,1
Mongolia,"Aug 12, 2021",1,Challenge,Street view,"49.156980211237411,104.74839261557",Selenge,1
Ecuador,"Aug 12, 2021",2,Challenge,Street view,"-3.2563607398821519,-79.9589860492306",El Oro,1
Germany,"Aug 12, 2021",3,Challenge,Street view,"51.038559455757067,7.0015388349829664",Nordrhein-Westfalen,1
Switzerland,"Aug 12, 2021",4,Challenge,Street view,"46.563011629981219,6.6039316267388974",Vaud,1
Finland,"Aug 12, 2021",5,Challenge,Street view,"64.74339290140027,28.68294760981604",Kainuu,1
Canada,"Aug 13, 2021",1,Challenge,Street view,"52.125397866227487,-119.2940827674897",British Columbia,1
Australia,"Aug 13, 2021",2,Challenge,Street view,"-34.6920171,140.7179903",South Australia,1
Ecuador,"Aug 13, 2021",3,Challenge,Street view,"-3.270347798568582,-80.003496845062188",El Oro,1
United States,"Aug 13, 2021",4,Challenge,Street view,"32.332318723753339,-98.177903585385181",Texas,1
Sweden,"Aug 13, 2021",5,Challenge,Street view,"58.889600222361118,17.55584620548856",Södermanlands län,1
New Zealand,"Aug 14, 2021",1,Challenge,Street view,"-45.069561615719607,169.6017921941195",Otago Region,1
Senegal,"Aug 14, 2021",2,Challenge,Street view,"14.762439290814919,-17.421727269502281",Dakar Region,1
Netherlands,"Aug 14, 2021",3,Challenge,Street view,"53.337838577989942,5.8237916344502034",Friesland,1
Poland,"Aug 14, 2021",4,Challenge,Street view,"53.755388410653822,23.381683629094791",Województwo podlaskie,1
Colombia,"Aug 14, 2021",5,Challenge,Street view,"3.376047296704662,-74.810068726503687",Huila,1
Türkiye,"Aug 15, 2021",1,Challenge,Street view,"40.73559732106785,32.261887598962652",Bolu,1
Belgium,"Aug 15, 2021",2,Challenge,Street view,"51.434341354600349,4.9354066776034173",Vlaanderen,1
Norway,"Aug 15, 2021",3,Challenge,Street view,"68.273375802506976,14.2938096199112",Nordland,1
Ukraine,"Aug 15, 2021",4,Challenge,Street view,"48.056414865837652,34.929365251561137",Zaporiz'ka oblast,1
Canada,"Aug 15, 2021",5,Challenge,Street view,"44.074944229815173,-77.9626372557346",Ontario,1
Russia,"Aug 16, 2021",1,Challenge,Street view,"56.814001436300927,37.796819697955087",Moskovskaya oblast',1
Belgium,"Aug 16, 2021",2,Challenge,Street view,"51.217629063512852,4.4205402096747664",Vlaanderen,1
United Kingdom,"Aug 16, 2021",3,Challenge,Street view,"51.5182498,-0.1207679",Greater London,1
Ecuador,"Aug 16, 2021",4,Challenge,Street view,"-0.17946905122472009,-79.207557255385254",Santo Domingo de los Tsachilas,1
India,"Aug 16, 2021",5,Challenge,Street view,"12.834664555673911,77.400853283462254",Karnataka,1
Kenya,"Aug 17, 2021",1,Challenge,Street view,"0.63564390739048637,37.671716081545632",Samburu County,1
Uruguay,"Aug 17, 2021",2,Challenge,Street view,"-32.288468827379241,-58.089553534377373",Departamento de Paysandú,1
Romania,"Aug 17, 2021",3,Challenge,Street view,"47.797597859211663,23.6084531",Maramureș,1
Senegal,"Aug 17, 2021",4,Challenge,Street view,"14.4353002391165,-16.866330331029911",Thiès Region,1
United Arab Emirates,"Aug 17, 2021",5,Challenge,Street view,"25.267472085021279,55.301146839803778",Dubai,1
Canada,"Aug 18, 2021",1,Challenge,Street view,"55.339591922375178,-118.7694101008224",Alberta,1
Colombia,"Aug 18, 2021",2,Challenge,Street view,"3.2487949,-75.2437701",Huila,1
Poland,"Aug 18, 2021",3,Challenge,Street view,"50.264777441856943,16.891593018869131",Województwo dolnośląskie,1
United Arab Emirates,"Aug 18, 2021",4,Challenge,Street view,"25.267472085021279,55.301146839803778",Dubai,1
Egypt,"Aug 18, 2021",5,Challenge,Street view,"29.977861389137541,31.132785344327971",Giza Governorate,1
Türkiye,"Aug 19, 2021",1,Challenge,Street view,"38.552657100042467,43.431105452139178",Van,1
Russia,"Aug 19, 2021",2,Challenge,Street view,"51.211777925548361,81.1111661775841",Altayskiy kray,1
Uruguay,"Aug 19, 2021",3,Challenge,Street view,"-32.802235795145542,-56.512835032543272",Departamento de Durazno,1
Albania,"Aug 19, 2021",4,Challenge,Street view,"41.175477292248708,19.56393206862035",Qarku i Tiranës,1
Serbia,"Aug 19, 2021",5,Challenge,Street view,"42.696422472485963,22.32659686658819",Pčinjski Okrug,1
Poland,"Aug 20, 2021",1,Challenge,Street view,"52.294740347274313,21.0386405265906",Województwo mazowieckie,1
United States,"Aug 20, 2021",2,Challenge,Street view,"32.582466352075478,-110.9552481320121",Arizona,1
United States,"Aug 20, 2021",3,Challenge,Street view,"36.616494321379619,-101.1913619281669",Oklahoma,1
Japan,"Aug 20, 2021",4,Challenge,Street view,"34.2981047,134.9422561",Hyogo,1
Italy,"Aug 20, 2021",5,Challenge,Street view,"38.099218574991781,13.391817041431761",Sicilia,1
Chile,"Aug 21, 2021",1,Challenge,Street view,"-37.773592154216438,-73.502134261190974",Bío Bío,1
Germany,"Aug 21, 2021",2,Challenge,Street view,"53.083356516689634,8.7850230667642464",Bremen,1
France,"Aug 21, 2021",3,Challenge,Street view,"42.06596632055215,8.7212243707467358",Corse,1
United States,"Aug 21, 2021",4,Challenge,Street view,"40.7060108,-74.0051993",New York,1
Japan,"Aug 21, 2021",5,Challenge,Street view,"45.4014464,141.691994",Hokkaido,1
Thailand,"Aug 22, 2021",1,Challenge,Street view,"16.906336289692959,101.85978914095109",Loei,1
Bangladesh,"Aug 22, 2021",2,Challenge,Street view,"24.72532695670477,90.4280458914784",Mymensingh Division,1
Argentina,"Aug 22, 2021",3,Challenge,Street view,"-34.050458840707307,-65.352926371766756",San Luis,1
Poland,"Aug 22, 2021",4,Challenge,Street view,"53.479902335024242,18.750927909671589",Województwo kujawsko-pomorskie,1
Norway,"Aug 22, 2021",5,Challenge,Street view,"58.794606695792488,7.3564579728689639",Agder,1
New Zealand,"Aug 23, 2021",1,Challenge,Street view,"-41.290136642403723,172.09850443478771",West Coast Region,1
Colombia,"Aug 23, 2021",2,Challenge,Street view,"1.595128193111722,-77.015670212806384",Nariño,1
Indonesia,"Aug 23, 2021",3,Challenge,Street view,"-4.3238954465353272,104.3451893466347",Sumatera Selatan,1
United Kingdom,"Aug 23, 2021",4,Challenge,Street view,"51.509383,-0.1176804",Greater London,1
Albania,"Aug 23, 2021",5,Challenge,Street view,"40.300484806518909,20.002166706539871",Gjirokastër County,1
"Korea, South","Aug 24, 2021",1,Challenge,Street view,"37.527025306768991,127.0128466578074",Seoul,1
Taiwan,"Aug 24, 2021",2,Challenge,Street view,"25.04324195157902,121.5163781716695",Taipei City,1
Japan,"Aug 24, 2021",3,Challenge,Street view,"37.734881818865311,139.7810808179496",Fukushima,1
Italy,"Aug 24, 2021",4,Challenge,Street view,"46.022616856338637,11.26242069704025",Trentino-Alto Adige,1
Colombia,"Aug 24, 2021",5,Challenge,Street view,"1.8026516497834,-78.780570302278889",Nariño,1
Bulgaria,"Aug 25, 2021",1,Challenge,Street view,"43.121547750502,25.682569947634448",Veliko Tarnovo,1
Russia,"Aug 25, 2021",2,Challenge,Street view,"57.049037734482667,63.727317118176707",Sverdlovskaya oblast',1
Argentina,"Aug 25, 2021",3,Challenge,Street view,"-26.18301697699593,-58.16803118185944",Formosa,1
Taiwan,"Aug 25, 2021",4,Challenge,Street view,"24.1715988,121.5922357",Hualien County,1
France,"Aug 25, 2021",5,Challenge,Street view,"48.856274729081953,2.296814794094435",Île-de-France,1
France,"Aug 26, 2021",1,Challenge,Street view,"48.951395281849159,2.3213167668826391",Île-de-France,1
Ecuador,"Aug 26, 2021",2,Challenge,Street view,"-1.5931558434234121,-80.860870400649588",Manabí,1
Senegal,"Aug 26, 2021",3,Challenge,Street view,"14.851015175288429,-15.85734703542245",Région de Diourbel,1
Kenya,"Aug 26, 2021",4,Challenge,Street view,"-1.376575936647076,36.774457517935417",Nairobi County,1
South Africa,"Aug 26, 2021",5,Challenge,Street view,"-30.8234914,28.5379776",Eastern Cape,1
Ireland,"Aug 27, 2021",1,Challenge,Street view,"54.2290990912126,-8.90320574247611",County Sligo,1
Estonia,"Aug 27, 2021",2,Challenge,Street view,"58.074978021930427,24.735654947067509",Pärnu maakond,1
Philippines,"Aug 27, 2021",3,Challenge,Street view,"16.3756897,120.7192793",Benguet,1
Brazil,"Aug 27, 2021",4,Challenge,Street view,"-21.2747226,-41.326523",Rio de Janeiro,1
Canada,"Aug 27, 2021",5,Challenge,Street view,"58.763257288300018,-94.055332009524",Manitoba,1
Senegal,"Aug 28, 2021",1,Challenge,Street view,"14.722085201470749,-17.49593977547082",Dakar Region,1
Mexico,"Aug 28, 2021",2,Challenge,Street view,"17.978555107487711,-102.21156626445431",Michoacán,1
Norway,"Aug 28, 2021",3,Challenge,Street view,"68.586457719194868,15.31208310809844",Nordland,1
Mongolia,"Aug 28, 2021",4,Challenge,Street view,"47.919290066772668,106.9175455049273",Ulaanbaatar,1
Bolivia,"Aug 28, 2021",5,Challenge,Street view,"-16.494125601410971,-68.201616392990218",Departamento de La Paz,1
Greece,"Aug 29, 2021",1,Challenge,Street view,"37.927859466399823,22.0457112140321",Western Greece,1
Netherlands,"Aug 29, 2021",2,Challenge,Street view,"52.061313760901562,5.6299333163231626",Gelderland,1
Ecuador,"Aug 29, 2021",3,Challenge,Street view,"-4.1453123893869526,-80.119378567164432",Loja,1
Kenya,"Aug 29, 2021",4,Challenge,Street view,"-4.0547525894642211,39.65309580770495",Mombasa County,1
Bulgaria,"Aug 29, 2021",5,Challenge,Street view,"43.63163898275927,27.156781291002471",Shumen,1
Chile,"Aug 30, 2021",1,Challenge,Street view,"-21.6367823,-69.548605",Antofagasta,1
United Kingdom,"Aug 30, 2021",2,Challenge,Street view,"51.88071451989461,0.85358463815048369",Essex,1
